# Self-contained analytic supernova neutrino flux for sntools `gamma` format.
# Ships with LUCiD so the supernova data-production config validates end-to-end
# with NO SNEWPY model download (the AdiabaticMSW_NMO/_IMO transformations are
# built into sntools). Replace with a SNEWPY-<Model> flux for physics runs.
#
# Columns (comma-separated), per arXiv:1211.3920 pinched-spectrum parametrization:
#   1: time (s)
#   2-4:  nu_e     mean E (MeV), mean E^2 (MeV^2), luminosity (erg/s)
#   5-7:  anti-nu_e (same three)
#   8-10: nu_x  (one species of nu_mu/nu_tau & antiparticles; not the sum)
#
# Shape: neutronization bump (~50 ms), accretion plateau (~0.5 s), cooling tail.
# Values are representative of a ~10 Msun core-collapse burst, not a specific
# simulation.
0.000, 10.0, 135.0, 1.0e52, 11.0, 163.0, 1.0e52, 14.0, 265.0, 1.0e52
0.050, 12.0, 194.0, 6.0e52, 11.5, 179.0, 4.0e52, 14.5, 284.0, 3.5e52
0.100, 11.0, 163.0, 5.0e52, 12.0, 194.0, 5.0e52, 15.0, 304.0, 4.0e52
0.200, 10.5, 149.0, 4.5e52, 13.0, 228.0, 5.2e52, 15.5, 324.0, 4.0e52
0.300, 10.2, 140.0, 4.2e52, 13.5, 246.0, 5.0e52, 15.5, 324.0, 3.8e52
0.500, 10.0, 135.0, 3.8e52, 14.0, 265.0, 4.6e52, 15.5, 324.0, 3.5e52
0.800,  9.8, 130.0, 3.2e52, 14.0, 265.0, 4.0e52, 15.0, 304.0, 3.0e52
1.000,  9.6, 124.0, 3.0e52, 13.8, 257.0, 3.7e52, 15.0, 304.0, 2.8e52
1.500,  9.4, 119.0, 2.5e52, 13.5, 246.0, 3.1e52, 14.5, 284.0, 2.4e52
2.000,  9.2, 114.0, 2.1e52, 13.0, 228.0, 2.7e52, 14.0, 265.0, 2.1e52
3.000,  9.0, 109.0, 1.6e52, 12.5, 211.0, 2.0e52, 13.5, 246.0, 1.7e52
4.000,  8.7, 102.0, 1.3e52, 12.0, 194.0, 1.6e52, 13.0, 228.0, 1.4e52
5.000,  8.5,  98.0, 1.0e52, 11.5, 179.0, 1.3e52, 12.5, 211.0, 1.1e52
6.000,  8.2,  91.0, 0.8e52, 11.0, 163.0, 1.0e52, 12.0, 194.0, 0.9e52
8.000,  7.8,  82.0, 0.5e52, 10.5, 149.0, 0.7e52, 11.5, 179.0, 0.6e52
10.000, 7.5,  76.0, 0.3e52, 10.0, 135.0, 0.5e52, 11.0, 163.0, 0.4e52
